NPUA80217,UP9000,FC26F698CB14E12105E10188D3F75071,,UP9000-NPUA80217_00-GRAGDOLLKU000001,Rag Doll Kung Fu: Fists of Plastic
NPUA80227,UP0017,5FE799FF57C390457B6662F61FF2AC92,,UP0017-NPUA80227_00-JEOPARDY0GAMEPS3,Jeopardy
NPUA80228,UP9000,693240351C550A6CEA3A4B2B253D1BF9,,UP9000-NPUA80228_00-GSAVAGEMOO000001,Savage Moon
NPUA80230,UP9000,,,UP9000-NPUA80230_00-JUNGLEPARTY00000,BUZZ! Junior: Jungle Party
NPUA80231,UP9000,,,UP9000-NPUA80231_00-MONSTERRALLY0000,BUZZ! Junior: Monster Rally
NPUA80232,UP9000,,,UP9000-NPUA80232_00-ROBOJAM000000000,BUZZ! Junior: RoboJam
NPUA80234,UP9000,84FD2A87D86B369649565FC984FEFD87,,UP9000-NPUA80234_00-UNCHARTED2EOIALL,UNCHARTED 2: Among Thieves - Eye of Indra 1-4 Bundle
NPUA80247,UP9000,95D238144A60641BB68577DD29918533,,UP9000-NPUA80247_00-0000000000010210,Trash Panic
NPUA80253,UP9000,4816B24D068C942C056EC106A9541329,,UP9000-NPUA80253_00-PIXJFOURFULL0001,PixelJunk Shooter
NPUA80275,UP9000,,,UP9000-NPUA80275_00-DJOURNEYXX0000A1,Journey
NPUA80275,UP9000,E8405DEF60B6E4A88790A92DC5B77A06,,UP9000-NPUA80275_00-JOURNEYYYPRIVATE,Journey
NPUA80291,UP9000,6CA08F6161F28C48E83B74B57834ACFD,,UP9000-NPUA80291_00-UHUSTLEKIN000001,Hustle Kings
NPUA80292,UP9000,,,UP9000-NPUA80292_00-UGRAVITYCR000001,Gravity Crash
NPUA80316,UP9000,2C23F292946C9A7D91DC19BBCBB6C60D,,UP9000-NPUA80316_00-PSABATROYL000001,PlayStation All-Stars Battle Royale
NPUA80319,UP9000,AFC52CE3508F0E34CC92ED92B1300953,,UP9000-NPUA80319_00-0000000000000000,Numblast
NPUA80358,UP9000,268F1C6355E794BC4CE6F24412BB1369,,UP9000-NPUA80358_00-DEADNATFULL00001,Dead Nation
NPUA80395,UP9000,BEB32BC26B0861A6711A138CD3B3D778,,UP9000-NPUA80395_00-PJRLAP2FULL00001,PixelJunk Racers 2nd Lap
